s,match_i,ed,ed_dot,efai,efai_dot,project_curv,ego_x,ego_y
23.7492,237,0.19935,-0.0240761,-0.0064304,-0.229089,0.0304215,22.1881,185.154
24.1227,241,0.211615,-0.0232711,-0.00629563,-0.226316,0.0304215,21.8189,185.115
24.1227,241,0.211615,-0.0232711,-0.00629563,-0.226316,0.0304215,21.8189,185.115
24.4953,245,0.223898,-0.022885,-0.0061671,-0.227199,0.0304215,21.4513,185.072
24.4953,245,0.223898,-0.022885,-0.0061671,-0.227199,0.0304215,21.4513,185.072
24.871,249,0.236254,-0.0227591,-0.00606921,-0.229402,0.0304215,21.0813,185.024
24.871,249,0.236254,-0.0227591,-0.00606921,-0.229402,0.0304215,21.0813,185.024
25.2512,253,0.24879,-0.0228263,-0.00601231,-0.231989,0.0304215,20.7074,184.972
25.2512,253,0.24879,-0.0228263,-0.00601231,-0.231989,0.0304215,20.7074,184.972
25.6335,256,0.261363,-0.0225843,-0.00596165,-0.231052,0.0304215,20.3316,184.915
25.6335,256,0.261363,-0.0225843,-0.00596165,-0.231052,0.0304215,20.3316,184.915
26.0121,260,0.273775,-0.0221891,-0.00593389,-0.228423,0.0304215,19.961,184.854
26.0121,260,0.273775,-0.0221891,-0.00593389,-0.228423,0.0304215,19.961,184.854
26.3896,264,0.286189,-0.022121,-0.00589432,-0.229415,0.0304215,19.5923,184.789
26.3896,264,0.286189,-0.022121,-0.00589432,-0.229415,0.0304215,19.5923,184.789
26.7703,268,0.298702,-0.0222609,-0.00587169,-0.231704,0.0304215,19.2215,184.719
26.7703,268,0.298702,-0.0222609,-0.00587169,-0.231704,0.0304215,19.2215,184.719
27.1553,272,0.311379,-0.0225505,-0.00587698,-0.234367,0.0304215,18.8473,184.645
27.1553,272,0.311379,-0.0225505,-0.00587698,-0.234367,0.0304215,18.8473,184.645
27.5422,275,0.324047,-0.0224813,-0.00587361,-0.233444,0.0304215,18.4715,184.565
27.5422,275,0.324047,-0.0224813,-0.00587361,-0.233444,0.0304215,18.4715,184.565
27.9254,279,0.336632,-0.0222425,-0.00588803,-0.230844,0.0304215,18.1013,184.482
27.9254,279,0.336632,-0.0222425,-0.00588803,-0.230844,0.0304215,18.1013,184.482
28.3074,283,0.349134,-0.022304,-0.00588441,-0.231862,0.0304215,17.7334,184.395
28.3074,283,0.349134,-0.022304,-0.00588441,-0.231862,0.0304215,17.7334,184.395
28.6925,287,0.361753,-0.02255,-0.00589104,-0.234163,0.0304215,17.3637,184.303
28.6925,287,0.361753,-0.02255,-0.00589104,-0.234163,0.0304215,17.3637,184.303
29.082,291,0.374469,-0.0229346,-0.00592157,-0.236834,0.0304215,16.991,184.206
29.082,291,0.374469,-0.0229346,-0.00592157,-0.236834,0.0304215,16.991,184.206
29.4741,295,0.387236,-0.0230555,-0.00596937,-0.235874,0.0304215,16.6171,184.103
29.4741,295,0.387236,-0.0230555,-0.00596937,-0.235874,0.0304215,16.6171,184.103
