s,match_i,ed,ed_dot,efai,efai_dot,project_curv,ego_x,ego_y
16.8599,169,-0.00916397,-0.0982271,-0.0283665,-0.221892,0.0304215,29.0481,185.097
16.8599,169,-0.00916397,-0.0982271,-0.0283665,-0.221892,0.0304215,29.0481,185.097
17.2068,172,-0.00300487,-0.0925522,-0.0265821,-0.229331,0.0304215,28.7036,185.138
17.2068,172,-0.00300487,-0.0925522,-0.0265821,-0.229331,0.0304215,28.7036,185.138
17.5572,176,0.00416077,-0.0868153,-0.0246257,-0.232681,0.0304215,28.3552,185.176
17.5572,176,0.00416077,-0.0868153,-0.0246257,-0.232681,0.0304215,28.3552,185.176
17.9125,179,0.0119587,-0.0813454,-0.0227437,-0.234829,0.0304215,28.0014,185.209
17.9125,179,0.0119587,-0.0813454,-0.0227437,-0.234829,0.0304215,28.0014,185.209
18.2712,183,0.0203192,-0.0750969,-0.0210056,-0.233042,0.0304215,27.6441,185.239
18.2712,183,0.0203192,-0.0750969,-0.0210056,-0.233042,0.0304215,27.6441,185.239
18.6258,186,0.0289409,-0.0686183,-0.0194297,-0.228906,0.0304215,27.2904,185.264
18.6258,186,0.0289409,-0.0686183,-0.0194297,-0.228906,0.0304215,27.2904,185.264
18.98,190,0.0378995,-0.0639101,-0.0180046,-0.22862,0.0304215,26.9372,185.285
18.98,190,0.0378995,-0.0639101,-0.0180046,-0.22862,0.0304215,26.9372,185.285
19.3374,193,0.0471907,-0.0601693,-0.0167505,-0.229529,0.0304215,26.5804,185.302
19.3374,193,0.0471907,-0.0601693,-0.0167505,-0.229529,0.0304215,26.5804,185.302
19.6999,197,0.0567383,-0.0571535,-0.0156929,-0.230741,0.0304215,26.2187,185.315
19.6999,197,0.0567383,-0.0571535,-0.0156929,-0.230741,0.0304215,26.2187,185.315
20.0655,201,0.0665213,-0.0538368,-0.0147963,-0.228857,0.0304215,25.8539,185.324
20.0655,201,0.0665213,-0.0538368,-0.0147963,-0.228857,0.0304215,25.8539,185.324
20.4268,204,0.0763772,-0.0503429,-0.0140098,-0.225248,0.0304215,25.4931,185.328
20.4268,204,0.0763772,-0.0503429,-0.0140098,-0.225248,0.0304215,25.4931,185.328
20.7876,208,0.0863637,-0.0480682,-0.0133149,-0.225511,0.0304215,25.1332,185.329
20.7876,208,0.0863637,-0.0480682,-0.0133149,-0.225511,0.0304215,25.1332,185.329
21.1517,212,0.0965881,-0.0464519,-0.0127222,-0.227092,0.0304215,24.77,185.325
21.1517,212,0.0965881,-0.0464519,-0.0127222,-0.227092,0.0304215,24.77,185.325
21.5203,215,0.106901,-0.0452746,-0.0122364,-0.229017,0.0304215,24.4023,185.318
21.5203,215,0.106901,-0.0452746,-0.0122364,-0.229017,0.0304215,24.4023,185.318
21.8922,219,0.117372,-0.0437845,-0.0118508,-0.227718,0.0304215,24.0318,185.306
21.8922,219,0.117372,-0.0437845,-0.0118508,-0.227718,0.0304215,24.0318,185.306
22.2598,223,0.127817,-0.0419965,-0.011512,-0.22472,0.0304215,23.6659,185.29
22.2598,223,0.127817,-0.0419965,-0.011512,-0.22472,0.0304215,23.6659,185.29
22.6262,226,0.138254,-0.0409949,-0.0111897,-0.225447,0.0304215,23.3011,185.27
22.6262,226,0.138254,-0.0409949,-0.0111897,-0.225447,0.0304215,23.3011,185.27
22.9963,230,0.148825,-0.0404883,-0.0109319,-0.22747,0.0304215,22.9335,185.245
22.9963,230,0.148825,-0.0404883,-0.0109319,-0.22747,0.0304215,22.9335,185.245
23.371,234,0.15957,-0.0402942,-0.0107414,-0.229811,0.0304215,22.5616,185.216
23.371,234,0.15957,-0.0402942,-0.0107414,-0.229811,0.0304215,22.5616,185.216
23.748,237,0.170407,-0.0396399,-0.0105865,-0.228782,0.0304215,22.1874,185.183
23.748,237,0.170407,-0.0396399,-0.0105865,-0.228782,0.0304215,22.1874,185.183
24.1212,241,0.181091,-0.0386593,-0.0104582,-0.226084,0.0304215,21.8181,185.145
24.1212,241,0.181091,-0.0386593,-0.0104582,-0.226084,0.0304215,21.8181,185.145
24.4934,245,0.191827,-0.0383231,-0.0103267,-0.227048,0.0304215,21.4503,185.104
24.4934,245,0.191827,-0.0383231,-0.0103267,-0.227048,0.0304215,21.4503,185.104
24.8688,249,0.202636,-0.0383335,-0.0102218,-0.229255,0.0304215,21.08,185.058
24.8688,249,0.202636,-0.0383335,-0.0102218,-0.229255,0.0304215,21.08,185.058
25.2481,252,0.213606,-0.0385119,-0.010143,-0.231774,0.0304215,20.7059,185.007
25.2481,252,0.213606,-0.0385119,-0.010143,-0.231774,0.0304215,20.7059,185.007
25.6308,256,0.22457,-0.0383119,-0.0101126,-0.230849,0.0304215,20.3298,184.951
25.6308,256,0.22457,-0.0383119,-0.0101126,-0.230849,0.0304215,20.3298,184.951
26.009,260,0.235424,-0.037681,-0.0100762,-0.228264,0.0304215,19.9589,184.892
26.009,260,0.235424,-0.037681,-0.0100762,-0.228264,0.0304215,19.9589,184.892
26.3861,264,0.246266,-0.0376229,-0.0100245,-0.229292,0.0304215,19.5899,184.829
26.3861,264,0.246266,-0.0376229,-0.0100245,-0.229292,0.0304215,19.5899,184.829
26.7663,268,0.257238,-0.0378587,-0.00998548,-0.231586,0.0304215,19.2188,184.761
26.7663,268,0.257238,-0.0378587,-0.00998548,-0.231586,0.0304215,19.2188,184.761
27.151,272,0.268331,-0.0383015,-0.00998133,-0.234161,0.0304215,18.8443,184.688
27.151,272,0.268331,-0.0383015,-0.00998133,-0.234161,0.0304215,18.8443,184.688
27.5375,275,0.2794,-0.0381731,-0.00997301,-0.233237,0.0304215,18.4682,184.61
27.5375,275,0.2794,-0.0381731,-0.00997301,-0.233237,0.0304215,18.4682,184.61
27.9202,279,0.290402,-0.0376831,-0.00997504,-0.230669,0.0304215,18.0976,184.528
27.9202,279,0.290402,-0.0376831,-0.00997504,-0.230669,0.0304215,18.0976,184.528
28.3017,283,0.301384,-0.0377268,-0.00995301,-0.231736,0.0304215,17.7293,184.443
28.3017,283,0.301384,-0.0377268,-0.00995301,-0.231736,0.0304215,17.7293,184.443
